GEOID,NAME,GATEWAY,GATE_NUM
10420,"Akron, OH Metro Area",low-immigration MSA,8
10580,"Albany-Schenectady-Troy, NY Metro Area",low-immigration MSA,8
10740,"Albuquerque, NM Metro Area",low-immigration MSA,8
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",low-immigration MSA,8
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",major-emerging,6
12260,"Augusta-Richmond County, GA-SC Metro Area",low-immigration MSA,8
12420,"Austin-Round Rock-San Marcos, TX Metro Area",major-emerging,6
12540,"Bakersfield-Delano, CA Metro Area",minor-continuous,3
12580,"Baltimore-Towson, MD Metro Area",re-emerging,5
12940,"Baton Rouge, LA Metro Area",low-immigration MSA,8
13820,"Birmingham-Hoover, AL Metro Area",low-immigration MSA,8
14260,"Boise City-Nampa, ID Metro Area",low-immigration MSA,8
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",major-continuous,2
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",minor-continuous,3
15380,"Buffalo-Niagara Falls, NY Metro Area",former,1
15980,"Cape Coral-Fort Myers, FL Metro Area",minor-emerging,7
16700,"Charleston-North Charleston-Summerville, SC Metro Area",low-immigration MSA,8
16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",major-emerging,6
16860,"Chattanooga, TN-GA Metro Area",low-immigration MSA,8
16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",major-continuous,2
17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",low-immigration MSA,8
17460,"Cleveland-Elyria-Mentor, OH Metro Area",former,1
17820,"Colorado Springs, CO Metro Area",low-immigration MSA,8
17900,"Columbia, SC Metro Area",low-immigration MSA,8
18140,"Columbus, OH Metro Area",minor-emerging,7
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",post-WWII,4
19380,"Dayton, OH Metro Area",low-immigration MSA,8
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",low-immigration MSA,8
19740,"Denver-Aurora-Broomfield, CO Metro Area",re-emerging,5
19780,"Des Moines-West Des Moines, IA Metro Area",low-immigration MSA,8
